OBJECTID,TICKET_NUMBER,VIOLATION_TYPE_DESC,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,VIOLATION_PROC_DESC,LOCATION,PLATE_STATE,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DESC,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM
60321113,260015136,P,1477972800000,01:52 PM,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P055,NO PARKING ANYTIME,3517 INTERNATIONAL DR NW, ,,,13.0,Liable - System,DEEMED LIABLE,1483419600000.0,30.0,0.0,30.0,,1.0,,,394094.2,141734.75,38.943,-77.068,294577.0,1559103368000
60321114,260015140,P,1477972800000,02:09 PM,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE",3517 INTERNATIONAL DR NW, ,,,13.0,Liable - System,DEEMED LIABLE,1483419600000.0,20.0,48.0,20.0,,8.0,,,394094.2,141734.75,38.943,-77.068,294577.0,1559103368000
60321359,260015151,P,1478581200000,11:15 AM,52,US. SECRET SERVICE UNIFORM DIVISION,USSS,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,3519 INTERNATIONAL DR NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480568400000.0,20.0,0.0,,,,,,394089.49,141811.65,38.944,-77.068,308555.0,1559103368000
60321392,260037396,P,1477972800000,07:52 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P001,PARK ABREAST OF ANOTHER VEHICLE,700 PENNSYLVANIA AV SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480136400000.0,50.0,0.0,,,,,,400378.33,135221.42,38.885,-76.996,311942.0,1559103368000
60321393,260037400,P,1478494800000,08:00 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P190,FAIL TO REGISTER APPORTIONABLE VEHICLE UNDER IRP,N/B 1400 FIRST ST SE, ,,,13.0,Liable - System,DEEMED LIABLE,1483765200000.0,500.0,1000.0,500.0,,,,,399489.7,133849.48,38.872,-77.006,816303.0,1559103368000
60321394,260037470,P,1478581200000,09:15 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P361,COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,N/B 3700 WISCONSIN AVE NW, ,,,,Other,,,100.0,100.0,,,,,,393528.27,141219.58,38.939,-77.075,807233.0,1559103368000
60321395,260037481,P,1478581200000,04:35 PM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P055,NO PARKING ANYTIME,200 1100 ST NW, ,,,,Other,,,30.0,30.0,,,,,,,,,,,1559103368000
60321396,260037492,P,1479272400000,07:30 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P361,COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,1200 1ST ST SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1482382800000.0,100.0,0.0,100.0,,,,,399576.78,134202.47,38.876,-77.005,285907.0,1559103368000
60321400,260068911,P,1478667600000,09:20 AM,28,COMMAND INFORMATION CENTER,MPD-CIC,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW, ,,,13.0,Liable - System,DEEMED LIABLE,1484024400000.0,30.0,0.0,30.0,,,,,398360.0,136248.81,38.894,-77.019,285553.0,1559103368000
60321401,260068922,P,1478754000000,12:50 PM,28,COMMAND INFORMATION CENTER,MPD-CIC,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW, ,,,13.0,Liable - System,DEEMED LIABLE,1484024400000.0,30.0,0.0,30.0,,1.0,,,398360.0,136248.81,38.894,-77.019,285553.0,1559103368000
60321402,260068933,P,1479099600000,11:28 AM,28,COMMAND INFORMATION CENTER,MPD-CIC,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481173200000.0,30.0,0.0,,,,,,398360.0,136248.81,38.894,-77.019,285553.0,1559103368000
60321403,260068944,P,1479099600000,11:29 AM,28,COMMAND INFORMATION CENTER,MPD-CIC,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481173200000.0,30.0,0.0,,,,,,398360.0,136248.81,38.894,-77.019,285553.0,1559103368000
60322741,260037514,P,1480309200000,09:40 AM,25,SPECIAL OPERATION DIV & TRAFFIC DIV,MPD-SOD,P361,COMMERCIAL MOTOR VEHICLE - NOT OUT OF SERVICE,1300 FIRST ST N/B SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,100.0,0.0,100.0,,,,,399491.13,134041.09,38.874,-77.006,807421.0,1559103368000
60324133,260199542,P,1479704400000,03:51 PM,1,METROPOLITAN POLICE DPT-DISTRICT 1,MPD-1D,P055,NO PARKING ANYTIME,600 F ST NW, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481173200000.0,30.0,0.0,,,,,,398254.39,136580.75,38.897,-77.02,238713.0,1559103368000
60327170,260110384,P,1480136400000,09:12 AM,6,METROPOLITAN POLICE DPT-DISTRICT 6,MPD-6D,P320,PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK,210 49TH ST NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481605200000.0,50.0,0.0,,,,,,405799.3,136057.15,38.892,-76.933,51824.0,1559103368000
60340298,260907695,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60340299,260907706,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,60.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341127,260907710,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341128,260907721,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341129,260907732,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,60.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341130,260907743,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,950183533,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341131,260907754,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341132,260907765,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,,Other,,,30.0,30.0,,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341133,260907776,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341134,260907780,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341135,260907791,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,399797.55,142700.05,38.952,-77.002,294852.0,1559103368000
60341136,260907802,P,1479272400000,09:24 AM,57,METRO POLICE,MTP,P057,NO PARKING SPECIFIC HOURS,550 GALLOWAY ST FTTO NW, ,,950158742,106.0,Dismissed,DISM NOI SUBM LATE,1483678800000.0,30.0,0.0,30.0,,,,,,,,,,1559103368000
60344867,260745516,P,1479013200000,11:35 AM,23,UNITED STATES CAPITOL POLICE,USCP,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,100 INDEPENDENCE AV SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1481346000000.0,50.0,0.0,,,,,,399591.516,135530.468,38.888,-77.005,800338.0,1559103368000
60346799,260864612,P,1477972800000,10:17 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346800,260864634,P,1477972800000,10:22 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,20.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346801,260864645,P,1477972800000,10:25 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,1290 ALABAMA AV SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346802,260864656,P,1477972800000,10:30 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,1290 ALABAMA AV SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346803,260864660,P,1477972800000,10:31 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,1290 ALABAMA AV SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346804,260864671,P,1477972800000,10:33 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346805,260864682,P,1477972800000,10:34 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346806,260864693,P,1477972800000,10:35 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
60346807,260864704,P,1477972800000,10:36 AM,57,METRO POLICE,MTP,P039,PARK AT EXPIRED METER,CONG/1290 ALABAMA AVE SE, ,,,106.0,Dismissed,DISM NOI SUBM LATE,1480482000000.0,25.0,0.0,,,,,,401048.69,130793.71,38.845,-76.988,294864.0,1559103368000
