x,y,hour,minute,day,month,year
-77.023,38.912,,,10,11,2010
-76.936,38.883,16,48,17,11,2010
-77.033,38.917,8,35,3,11,2010
-77.033,38.917,8,51,3,11,2010
-77.042,38.919,9,35,3,11,2010
-77.042,38.919,9,37,3,11,2010
-77.042,38.922,9,39,3,11,2010
-77.04,38.925,9,42,3,11,2010
-77.04,38.925,9,45,3,11,2010
-77.037,38.926,9,46,3,11,2010
-77.039,38.924,9,48,3,11,2010
-77.043,38.922,9,56,3,11,2010
-77.042,38.922,9,59,3,11,2010
-77.042,38.922,10,3,3,11,2010
-77.042,38.922,10,5,3,11,2010
-77.042,38.922,10,34,3,11,2010
-77.04,38.925,10,36,3,11,2010
-77.04,38.925,10,38,3,11,2010
-77.037,38.926,10,42,3,11,2010
-77.04,38.925,10,44,3,11,2010
-77.04,38.925,10,45,3,11,2010
-77.04,38.925,11,7,3,11,2010
-77.04,38.925,11,9,3,11,2010
-77.04,38.925,11,11,3,11,2010
-77.044,38.922,11,18,3,11,2010
-77.044,38.922,11,24,3,11,2010
-77.042,38.922,11,41,3,11,2010
-77.042,38.922,12,1,3,11,2010
-77.042,38.922,12,1,3,11,2010
-77.041,38.923,12,4,3,11,2010
-77.04,38.925,12,7,3,11,2010
-77.033,38.919,12,19,3,11,2010
-77.031,38.919,12,23,3,11,2010
-77.031,38.919,12,26,3,11,2010
-77.031,38.917,12,33,3,11,2010
-77.032,38.914,13,15,3,11,2010
-76.995,38.879,7,14,4,11,2010
-76.995,38.879,7,16,4,11,2010
-76.995,38.879,7,17,4,11,2010
-76.995,38.879,7,18,4,11,2010
-76.995,38.885,7,23,4,11,2010
-76.994,38.884,8,15,4,11,2010
-77.001,38.889,8,48,4,11,2010
-76.996,38.878,9,8,4,11,2010
-76.995,38.885,10,1,4,11,2010
-77.0,38.887,10,43,4,11,2010
-77.0,38.888,10,49,4,11,2010
-77.003,38.89,10,55,4,11,2010
-77.0,38.89,10,58,4,11,2010
-76.997,38.88,11,31,4,11,2010
-76.995,38.883,11,35,4,11,2010
-76.995,38.879,11,39,4,11,2010
-76.996,38.883,11,51,4,11,2010
-76.994,38.885,11,58,4,11,2010
-76.994,38.885,11,59,4,11,2010
-76.995,38.882,12,28,4,11,2010
-76.996,38.883,12,50,4,11,2010
-77.0,38.887,12,57,4,11,2010
-77.0,38.888,12,59,4,11,2010
-77.0,38.888,12,59,4,11,2010
-77.039,38.899,8,2,5,11,2010
-77.039,38.899,8,3,5,11,2010
-77.039,38.899,8,4,5,11,2010
-77.041,38.899,8,7,5,11,2010
-77.041,38.899,8,9,5,11,2010
-77.041,38.899,8,13,5,11,2010
-77.041,38.899,8,15,5,11,2010
-77.041,38.899,8,17,5,11,2010
-77.041,38.897,8,24,5,11,2010
-77.043,38.897,8,37,5,11,2010
-77.043,38.897,8,40,5,11,2010
-77.043,38.897,8,42,5,11,2010
-77.042,38.898,8,48,5,11,2010
-77.041,38.898,8,53,5,11,2010
-77.041,38.898,8,54,5,11,2010
-77.041,38.899,9,1,5,11,2010
-77.041,38.899,9,2,5,11,2010
-77.042,38.9,9,6,5,11,2010
-77.042,38.9,9,9,5,11,2010
-77.042,38.9,9,11,5,11,2010
-77.043,38.9,9,14,5,11,2010
-77.039,38.899,9,27,5,11,2010
-77.041,38.901,9,31,5,11,2010
-77.042,38.9,9,44,5,11,2010
-77.042,38.9,9,46,5,11,2010
-77.041,38.899,9,52,5,11,2010
-77.039,38.899,9,56,5,11,2010
-77.041,38.9,10,0,5,11,2010
-77.041,38.899,10,3,5,11,2010
-77.041,38.899,10,5,5,11,2010
-77.041,38.899,10,7,5,11,2010
-77.041,38.897,10,23,5,11,2010
-77.043,38.897,10,36,5,11,2010
-77.043,38.897,10,38,5,11,2010
-77.043,38.897,10,41,5,11,2010
-77.043,38.897,10,43,5,11,2010
-77.043,38.897,10,44,5,11,2010
-77.043,38.897,10,45,5,11,2010
-77.041,38.898,10,55,5,11,2010
-77.042,38.9,11,5,5,11,2010
-77.039,38.922,7,4,8,11,2010
-77.039,38.922,7,6,8,11,2010
-77.039,38.919,7,8,8,11,2010
-77.041,38.922,7,54,8,11,2010
-77.044,38.925,8,4,8,11,2010
-77.047,38.906,14,7,8,11,2010
-77.05,38.903,8,36,9,11,2010
-77.05,38.903,8,58,9,11,2010
-77.05,38.903,8,59,9,11,2010
-77.05,38.903,9,2,9,11,2010
-77.05,38.903,9,3,9,11,2010
-77.047,38.903,9,17,9,11,2010
-77.05,38.903,9,18,9,11,2010
-77.05,38.903,9,19,9,11,2010
-77.05,38.903,9,19,9,11,2010
-77.05,38.903,9,20,9,11,2010
-77.05,38.903,9,20,9,11,2010
-77.05,38.903,9,20,9,11,2010
-77.05,38.903,9,21,9,11,2010
-77.05,38.903,9,21,9,11,2010
-77.05,38.903,9,22,9,11,2010
-77.05,38.903,9,29,9,11,2010
-77.046,38.904,11,1,9,11,2010
-77.048,38.904,11,5,9,11,2010
-77.048,38.904,11,7,9,11,2010
-77.048,38.904,11,9,9,11,2010
-77.048,38.905,11,32,9,11,2010
-77.048,38.904,11,35,9,11,2010
-77.05,38.903,12,6,9,11,2010
-77.05,38.903,12,7,9,11,2010
-77.046,38.904,12,43,9,11,2010
-77.046,38.904,13,0,9,11,2010
-77.046,38.904,13,1,9,11,2010
-77.046,38.904,13,1,9,11,2010
-77.046,38.904,13,4,9,11,2010
-77.048,38.904,13,5,9,11,2010
-77.048,38.904,13,7,9,11,2010
-77.048,38.904,13,9,9,11,2010
-77.048,38.904,13,11,9,11,2010
-77.05,38.903,14,6,9,11,2010
-76.994,38.896,6,49,10,11,2010
-76.995,38.895,6,52,10,11,2010
-76.987,38.898,6,56,10,11,2010
-76.993,38.892,7,9,10,11,2010
-76.994,38.896,7,14,10,11,2010
-76.991,38.896,7,17,10,11,2010
-76.991,38.896,7,19,10,11,2010
-76.991,38.896,7,19,10,11,2010
-76.991,38.896,7,20,10,11,2010
-76.988,38.894,7,23,10,11,2010
-76.995,38.897,8,26,10,11,2010
-76.995,38.897,8,26,10,11,2010
-76.994,38.895,9,8,10,11,2010
-76.994,38.895,9,9,10,11,2010
-76.994,38.898,9,12,10,11,2010
-76.995,38.9,10,40,10,11,2010
-76.995,38.9,10,41,10,11,2010
-76.986,38.882,10,52,10,11,2010
-76.985,38.896,11,53,10,11,2010
-76.985,38.896,11,53,10,11,2010
-76.996,38.893,12,3,10,11,2010
-76.989,38.895,12,9,10,11,2010
-76.987,38.895,12,10,10,11,2010
-76.987,38.895,12,11,10,11,2010
-76.996,38.894,12,16,10,11,2010
-76.995,38.9,12,58,10,11,2010
-76.986,38.898,13,39,10,11,2010
-77.016,38.899,7,1,12,11,2010
-77.016,38.899,7,2,12,11,2010
-77.016,38.884,7,7,12,11,2010
-77.016,38.884,7,9,12,11,2010
-77.016,38.885,7,11,12,11,2010
-77.016,38.885,7,12,12,11,2010
-77.058,38.904,8,41,15,11,2010
-77.041,38.918,11,12,17,11,2010
-76.991,38.943,11,48,16,11,2010
-76.991,38.943,11,51,16,11,2010
-76.991,38.943,11,57,16,11,2010
-76.991,38.943,11,59,16,11,2010
-76.991,38.943,12,0,16,11,2010
-76.991,38.943,12,1,16,11,2010
-76.967,38.919,13,29,16,11,2010
-77.033,38.917,8,41,17,11,2010
-77.037,38.917,9,20,17,11,2010
-77.042,38.922,9,26,17,11,2010
-77.04,38.923,9,29,17,11,2010
-77.04,38.923,9,31,17,11,2010
-77.04,38.925,9,34,17,11,2010
-77.04,38.925,9,35,17,11,2010
-77.041,38.925,9,40,17,11,2010
-77.037,38.926,9,45,17,11,2010
-77.04,38.925,9,48,17,11,2010
-77.043,38.922,9,52,17,11,2010
-77.043,38.922,9,55,17,11,2010
-77.042,38.922,9,57,17,11,2010
-77.042,38.922,9,58,17,11,2010
-77.042,38.922,9,58,17,11,2010
-77.042,38.922,10,0,17,11,2010
-77.042,38.922,10,1,17,11,2010
-77.033,38.917,10,32,17,11,2010
-77.059,38.904,8,44,15,11,2010
-77.059,38.904,8,45,15,11,2010
-77.061,38.904,8,48,15,11,2010
-77.062,38.903,8,49,15,11,2010
-77.063,38.905,8,52,15,11,2010
-77.063,38.905,8,53,15,11,2010
-77.066,38.904,8,58,15,11,2010
-77.066,38.904,8,59,15,11,2010
-77.066,38.904,9,0,15,11,2010
-77.068,38.905,9,2,15,11,2010
-77.068,38.905,9,3,15,11,2010
-77.067,38.905,9,4,15,11,2010
-77.065,38.906,9,7,15,11,2010
-77.063,38.906,9,12,15,11,2010
-77.061,38.906,9,15,15,11,2010
-77.061,38.906,9,16,15,11,2010
-77.061,38.906,9,17,15,11,2010
-77.061,38.906,9,18,15,11,2010
-77.061,38.906,9,19,15,11,2010
-77.061,38.906,9,20,15,11,2010
-77.061,38.904,9,23,15,11,2010
-77.062,38.903,9,25,15,11,2010
-77.063,38.905,10,22,15,11,2010
-77.063,38.905,10,24,15,11,2010
-77.065,38.904,10,32,15,11,2010
-77.064,38.905,10,35,15,11,2010
-77.061,38.904,13,30,15,11,2010
-77.001,38.919,7,4,16,11,2010
-77.009,38.917,7,7,16,11,2010
-77.014,38.913,7,18,16,11,2010
-77.013,38.916,7,22,16,11,2010
-77.015,38.919,7,26,16,11,2010
-77.014,38.918,7,30,16,11,2010
-77.009,38.924,7,43,16,11,2010
-77.004,38.929,7,48,16,11,2010
-76.998,38.94,7,57,16,11,2010
-76.998,38.94,7,59,16,11,2010
-76.998,38.94,8,0,16,11,2010
-77.007,38.944,8,4,16,11,2010
-77.007,38.944,8,7,16,11,2010
-76.994,38.943,9,1,16,11,2010
-76.991,38.933,9,23,16,11,2010
-76.991,38.933,9,24,16,11,2010
-76.998,38.924,9,35,16,11,2010
-77.004,38.929,9,41,16,11,2010
-77.004,38.929,9,43,16,11,2010
-77.004,38.929,9,46,16,11,2010
-77.012,38.924,9,51,16,11,2010
-77.012,38.924,9,53,16,11,2010
-77.012,38.924,9,54,16,11,2010
-77.012,38.924,9,55,16,11,2010
-77.012,38.924,9,57,16,11,2010
-77.012,38.924,9,58,16,11,2010
-77.009,38.927,10,5,16,11,2010
-77.007,38.926,10,15,16,11,2010
-76.991,38.943,11,25,16,11,2010
-76.991,38.943,11,29,16,11,2010
-76.991,38.943,11,31,16,11,2010
-76.991,38.943,11,32,16,11,2010
-76.991,38.943,11,34,16,11,2010
-76.991,38.943,11,36,16,11,2010
-76.991,38.943,11,37,16,11,2010
-76.991,38.943,11,39,16,11,2010
-76.991,38.943,11,41,16,11,2010
-76.991,38.943,11,42,16,11,2010
-76.991,38.943,11,43,16,11,2010
-76.991,38.943,11,45,16,11,2010
-76.991,38.943,11,47,16,11,2010
-77.019,38.886,8,7,3,11,2010
-77.018,38.886,8,59,3,11,2010
-77.021,38.885,9,20,3,11,2010
-77.018,38.885,10,56,3,11,2010
-77.02,38.884,11,0,3,11,2010
-77.021,38.883,11,3,3,11,2010
-77.021,38.883,11,9,3,11,2010
-77.016,38.883,11,18,3,11,2010
-77.016,38.883,11,20,3,11,2010
-77.014,38.883,11,24,3,11,2010
-77.016,38.885,11,32,3,11,2010
-77.033,38.905,14,55,3,11,2010
-77.033,38.905,14,57,3,11,2010
-77.033,38.905,14,58,3,11,2010
-77.033,38.905,15,2,3,11,2010
-77.032,38.903,15,9,3,11,2010
-77.032,38.903,15,10,3,11,2010
-77.033,38.903,15,16,3,11,2010
-77.033,38.903,15,17,3,11,2010
-77.035,38.905,15,28,3,11,2010
-77.036,38.906,15,31,3,11,2010
-77.035,38.905,15,36,3,11,2010
-77.033,38.905,16,4,3,11,2010
-77.033,38.905,16,5,3,11,2010
-77.033,38.905,16,6,3,11,2010
-77.033,38.905,16,7,3,11,2010
-77.033,38.905,16,7,3,11,2010
-77.032,38.905,16,11,3,11,2010
-77.031,38.904,16,13,3,11,2010
-77.033,38.905,16,20,3,11,2010
-77.033,38.905,16,26,3,11,2010
-77.032,38.903,16,32,3,11,2010
-77.032,38.903,16,33,3,11,2010
-77.031,38.907,16,54,3,11,2010
-77.031,38.907,16,56,3,11,2010
-77.031,38.907,16,58,3,11,2010
-77.031,38.907,17,0,3,11,2010
-77.031,38.907,17,1,3,11,2010
-77.035,38.903,17,15,3,11,2010
-77.035,38.903,17,16,3,11,2010
-77.043,38.906,17,37,3,11,2010
-77.063,38.944,7,21,4,11,2010
-77.066,38.948,7,25,4,11,2010
-77.066,38.943,7,35,4,11,2010
-77.066,38.943,7,36,4,11,2010
-77.069,38.917,7,57,4,11,2010
-77.069,38.917,7,58,4,11,2010
-77.071,38.92,8,1,4,11,2010
-77.072,38.92,8,4,4,11,2010
-77.074,38.926,8,12,4,11,2010
-77.075,38.927,8,13,4,11,2010
-77.075,38.927,8,17,4,11,2010
-77.074,38.928,8,20,4,11,2010
-77.083,38.936,8,25,4,11,2010
-77.083,38.936,8,26,4,11,2010
-77.085,38.937,8,29,4,11,2010
-77.085,38.937,8,29,4,11,2010
-77.085,38.937,8,30,4,11,2010
